available cuda: 2
training started: May27_09-59-53
epoch:00, train:1.046, valid:0.724, threshold: [0.7422899  1.04077318 1.37341005 2.01220737 5.79195108], score:0.639, best:0.639, date:May27_10-11-09
epoch:32, train:0.492, valid:0.371, threshold: [0.70817664 1.37088494 1.77202635 2.76250401 3.25027584], score:0.850, best:0.850, date:May27_16-10-41
epoch:33, train:0.493, valid:0.340, threshold: [0.70573307 1.54696023 1.98900654 2.5340044  3.66052933], score:0.848, best:0.850, date:May27_16-21-53
epoch:34, train:0.487, valid:0.378, threshold: [0.68532804 1.33249937 1.74489475 2.53844954 4.59269567], score:0.841, best:0.850, date:May27_16-33-08
epoch:35, train:0.462, valid:0.316, threshold: [0.76982977 1.47616013 2.08951315 3.12265568 3.497146  ], score:0.856, best:0.856, date:May27_16-44-59
epoch:36, train:0.487, valid:0.337, threshold: [0.69653656 1.29327908 2.07948789 2.76079046 3.53979661], score:0.859, best:0.859, date:May27_16-56-14
epoch:37, train:0.476, valid:0.336, threshold: [0.68066708 1.57122627 2.2688924  2.92262547 3.49979081], score:0.849, best:0.859, date:May27_17-07-28
epoch:38, train:0.493, valid:0.336, threshold: [0.73489137 1.53198345 1.83383591 2.48526367 3.52611872], score:0.860, best:0.860, date:May27_17-18-42
epoch:39, train:0.470, valid:0.290, threshold: [0.6193453  1.64699255 2.43681703 2.91718582 3.73419694], score:0.859, best:0.860, date:May27_17-29-55
epoch:40, train:0.466, valid:0.355, threshold: [0.64510403 1.46476575 2.05419352 2.49140387 4.6178617 ], score:0.840, best:0.860, date:May27_17-41-07
epoch:41, train:0.466, valid:0.363, threshold: [0.78613912 1.52419661 2.11849035 2.45071146 3.33104846], score:0.859, best:0.860, date:May27_17-52-19
epoch:42, train:0.464, valid:0.345, threshold: [0.70742712 1.48974506 2.08277473 2.46319105 3.28935532], score:0.854, best:0.860, date:May27_18-03-37
epoch:43, train:0.466, valid:0.354, threshold: [0.66910066 1.43221656 1.80289722 2.37163989 5.35603523], score:0.841, best:0.860, date:May27_18-14-51
epoch:44, train:0.472, valid:0.331, threshold: [0.9245107  1.47166053 2.15173237 2.90958867 3.55655813], score:0.868, best:0.868, date:May27_18-26-06
epoch:45, train:0.457, valid:0.364, threshold: [0.91303732 1.50842457 2.13285937 2.61150584 3.45961264], score:0.858, best:0.868, date:May27_18-37-21
epoch:46, train:0.465, valid:0.328, threshold: [0.87016035 1.4758663  2.0774093  2.8914118  3.36898131], score:0.858, best:0.868, date:May27_18-48-36
epoch:47, train:0.455, valid:0.324, threshold: [0.75134745 1.58575949 2.15945027 2.81071538 3.27384235], score:0.867, best:0.868, date:May27_18-59-54
epoch:48, train:0.453, valid:0.324, threshold: [0.64039866 1.57841979 2.1765743  2.48135545 4.88838389], score:0.848, best:0.868, date:May27_19-11-09
epoch:49, train:0.463, valid:0.304, threshold: [0.66448898 1.5184819  2.15652778 2.62325085 3.47718642], score:0.862, best:0.868, date:May27_19-22-23
epoch:50, train:0.451, valid:0.335, threshold: [0.65669427 1.45673707 1.76986872 2.73868482 3.98478749], score:0.854, best:0.868, date:May27_19-33-36
epoch:51, train:0.464, valid:0.331, threshold: [0.77552086 1.46928039 1.84735665 2.54787102 3.32508166], score:0.858, best:0.868, date:May27_19-44-52
epoch:52, train:0.451, valid:0.357, threshold: [0.83529819 1.48310228 1.94979117 2.66977326 3.3787892 ], score:0.865, best:0.868, date:May27_19-56-06
epoch:53, train:0.450, valid:0.323, threshold: [0.71266622 1.59834468 2.27631766 2.74754353 3.33189406], score:0.865, best:0.868, date:May27_20-07-19
epoch:54, train:0.454, valid:0.331, threshold: [0.72975209 1.58314998 2.14009179 2.53468096 3.37403806], score:0.865, best:0.868, date:May27_20-18-34
epoch:55, train:0.450, valid:0.354, threshold: [0.78530216 1.42887192 2.00080833 2.52022174 3.10750416], score:0.866, best:0.868, date:May27_20-29-48
epoch:56, train:0.457, valid:0.338, threshold: [0.62835782 1.57357651 1.89632467 2.35447129 4.42657193], score:0.846, best:0.868, date:May27_20-40-59
epoch:57, train:0.444, valid:0.332, threshold: [0.71192192 1.28898044 1.96590692 2.61044344 3.43876431], score:0.867, best:0.868, date:May27_20-52-13
epoch:58, train:0.447, valid:0.289, threshold: [0.63184286 1.53412523 2.1985535  3.04677546 3.85154183], score:0.863, best:0.868, date:May27_21-03-25
epoch:59, train:0.442, valid:0.327, threshold: [0.62661425 1.50857284 2.00658765 2.77420976 4.60300582], score:0.849, best:0.868, date:May27_21-14-40
epoch:60, train:0.434, valid:0.360, threshold: [0.70537047 1.60666115 1.95556543 2.44669469 4.58287306], score:0.847, best:0.868, date:May27_21-25-54
epoch:61, train:0.438, valid:0.308, threshold: [0.65041847 1.26198435 2.0866769  2.96346973 3.65819905], score:0.870, best:0.870, date:May27_21-37-06
epoch:62, train:0.431, valid:0.332, threshold: [0.63877195 1.45876165 2.16929644 2.55213494 4.6931143 ], score:0.849, best:0.870, date:May27_21-48-18
epoch:63, train:0.429, valid:0.350, threshold: [0.60502007 1.22226533 1.68536488 2.47507777 4.13517129], score:0.862, best:0.870, date:May27_21-59-32
epoch:64, train:0.431, valid:0.304, threshold: [0.74734747 1.54764769 2.02789282 2.72378335 3.37559932], score:0.869, best:0.870, date:May27_22-10-48
epoch:65, train:0.431, valid:0.329, threshold: [0.67520802 1.47604922 1.92575921 2.67690168 3.26450995], score:0.859, best:0.870, date:May27_22-22-00
epoch:66, train:0.438, valid:0.417, threshold: [0.51213278 1.01631198 1.69269648 2.40423235 6.04843172], score:0.851, best:0.870, date:May27_22-33-12
epoch:67, train:0.443, valid:0.338, threshold: [0.7451743  1.39778765 2.02876112 2.70820721 3.4015849 ], score:0.870, best:0.870, date:May27_22-44-24
epoch:68, train:0.427, valid:0.315, threshold: [0.68900471 1.71594604 2.0927597  2.78051299 3.28802657], score:0.863, best:0.870, date:May27_22-55-37
epoch:69, train:0.434, valid:0.308, threshold: [0.94720724 1.67002519 2.41537404 3.130589   3.63836125], score:0.871, best:0.871, date:May27_23-06-51
epoch:70, train:0.433, valid:0.297, threshold: [0.86481078 1.57325851 2.19264342 3.2098799  3.79898837], score:0.874, best:0.874, date:May27_23-18-04
epoch:71, train:0.433, valid:0.303, threshold: [0.69221683 1.50347699 2.13519554 2.86224069 3.71323515], score:0.869, best:0.874, date:May27_23-29-16
epoch:72, train:0.434, valid:0.318, threshold: [0.82868352 1.45245083 2.34831958 2.72198478 3.47599318], score:0.868, best:0.874, date:May27_23-40-28
epoch:73, train:0.431, valid:0.311, threshold: [1.01418012 1.60977539 2.33036021 3.04466073 3.95163399], score:0.875, best:0.875, date:May27_23-51-42
epoch:74, train:0.436, valid:0.329, threshold: [0.71798642 1.70304398 2.18099668 2.7614373  3.13445159], score:0.866, best:0.875, date:May28_00-02-56
epoch:75, train:0.418, valid:0.325, threshold: [0.86096643 1.62487997 2.32670919 2.79630496 3.3115743 ], score:0.870, best:0.875, date:May28_00-14-10
epoch:76, train:0.430, valid:0.316, threshold: [0.7109879  1.54034592 2.13343822 2.68050381 3.45839009], score:0.869, best:0.875, date:May28_00-25-25
epoch:77, train:0.426, valid:0.340, threshold: [0.73428177 1.39355737 2.03426518 2.52397391 4.81151356], score:0.860, best:0.875, date:May28_00-36-39
epoch:78, train:0.419, valid:0.327, threshold: [0.71999174 1.42690183 2.07815164 2.80046361 3.26224127], score:0.870, best:0.875, date:May28_00-47-53
epoch:79, train:0.436, valid:0.325, threshold: [0.60896654 1.35360307 2.32378617 2.780842   3.22551595], score:0.868, best:0.875, date:May28_00-59-09
epoch:80, train:0.422, valid:0.304, threshold: [0.7242173  1.58270735 2.0419966  2.58364077 3.40111604], score:0.871, best:0.875, date:May28_01-10-25
epoch:81, train:0.429, valid:0.320, threshold: [0.82301592 1.44888227 2.3031234  2.34842501 3.20502638], score:0.867, best:0.875, date:May28_01-21-41
epoch:82, train:0.426, valid:0.327, threshold: [0.78409749 1.83738023 2.2600603  2.92409521 3.80444217], score:0.861, best:0.875, date:May28_01-32-52
epoch:83, train:0.423, valid:0.309, threshold: [0.66793153 1.65872861 2.09796902 2.97354895 3.30837483], score:0.849, best:0.875, date:May28_01-44-05
epoch:84, train:0.427, valid:0.307, threshold: [0.79411313 1.41383404 1.81430976 2.62775478 3.51357344], score:0.871, best:0.875, date:May28_01-55-20
epoch:85, train:0.427, valid:0.312, threshold: [0.72429406 1.49489736 2.03013183 2.55202412 3.46998201], score:0.871, best:0.875, date:May28_02-06-33
epoch:86, train:0.419, valid:0.342, threshold: [0.6383039  1.36369591 1.89577619 2.61076413 4.49581636], score:0.857, best:0.875, date:May28_02-17-46
epoch:87, train:0.421, valid:0.323, threshold: [0.86753099 1.57090508 2.12711834 2.69915565 3.39459082], score:0.874, best:0.875, date:May28_02-29-00
epoch:88, train:0.416, valid:0.323, threshold: [0.69953277 1.42819413 2.17217655 2.70477461 3.21591471], score:0.867, best:0.875, date:May28_02-40-15
epoch:89, train:0.421, valid:0.348, threshold: [0.63871883 1.30339852 1.79341207 2.44337904 4.98796745], score:0.858, best:0.875, date:May28_02-51-26
epoch:90, train:0.418, valid:0.317, threshold: [0.7028392  1.53672468 2.24885886 3.01052662 3.53279131], score:0.867, best:0.875, date:May28_03-02-41
epoch:91, train:0.426, valid:0.308, threshold: [0.66532117 1.46690229 2.08483165 2.4183866  4.67502188], score:0.853, best:0.875, date:May28_03-13-56
epoch:92, train:0.435, valid:0.351, threshold: [0.74104428 1.3399441  2.01370831 2.60218652 3.06135101], score:0.871, best:0.875, date:May28_03-25-11
epoch:93, train:0.412, valid:0.328, threshold: [0.63146968 1.46765513 2.07161229 2.48343507 4.81352197], score:0.862, best:0.875, date:May28_03-36-24
epoch:94, train:0.416, valid:0.313, threshold: [0.63536858 1.40051529 2.04388333 2.37079565 4.62191354], score:0.861, best:0.875, date:May28_03-47-38
epoch:95, train:0.421, valid:0.323, threshold: [0.79381731 1.36232181 1.94398519 2.64627918 3.43174288], score:0.875, best:0.875, date:May28_03-58-51
epoch:96, train:0.427, valid:0.357, threshold: [0.76931746 1.39891688 2.04061205 2.5432438  3.06803568], score:0.871, best:0.875, date:May28_04-10-03
epoch:97, train:0.420, valid:0.340, threshold: [0.92210609 1.52428079 2.1640773  2.74620449 3.16812029], score:0.872, best:0.875, date:May28_04-21-18
epoch:98, train:0.417, valid:0.307, threshold: [0.74033252 1.4677468  2.26877549 2.74733137 3.44376874], score:0.874, best:0.875, date:May28_04-32-34
epoch:99, train:0.428, valid:0.315, threshold: [0.69009833 1.46598087 2.13249357 2.97189235 3.42311389], score:0.873, best:0.875, date:May28_04-43-46
training finished: May28_04-43-46
