available cuda: 2
loading data: May24_22-15-10
data loaded: May24_22-18-30
training started: May24_22-18-30
epoch:00, train:1.102, valid:0.624, threshold: [0.80331503 1.50126016 1.10036669 2.0437586  2.75347428], score:0.681, best:0.681, date:May24_22-30-53
epoch:17, train:0.591, valid:0.442, threshold: [0.72344836 1.65560014 1.80137225 2.47217409 4.67131605], score:0.786, best:0.815, date:May25_01-57-38
epoch:18, train:0.591, valid:0.447, threshold: [0.79719982 1.71283761 2.29337211 1.44760975 3.42851062], score:0.808, best:0.815, date:May25_02-09-48
epoch:19, train:0.580, valid:0.482, threshold: [0.69449256 1.74718621 1.38876708 2.31638555 5.06028991], score:0.806, best:0.815, date:May25_02-21-58
epoch:20, train:0.561, valid:0.412, threshold: [0.83667976 1.58229336 1.8303716  2.51651738 4.03332312], score:0.815, best:0.815, date:May25_02-34-09
epoch:21, train:0.555, valid:0.451, threshold: [0.58373605 1.62072883 2.11299135 2.6534169  4.52097382], score:0.804, best:0.815, date:May25_02-46-19
epoch:22, train:0.572, valid:0.426, threshold: [0.58810665 1.68088348 2.1817822  2.58282262 4.74466969], score:0.810, best:0.815, date:May25_02-58-29
epoch:23, train:0.550, valid:0.438, threshold: [0.59975724 1.68949972 2.19484539 3.09156047 4.56063978], score:0.814, best:0.815, date:May25_03-10-39
epoch:24, train:0.554, valid:0.441, threshold: [0.74535168 1.75379503 1.41668731 2.60384331 3.52482254], score:0.797, best:0.815, date:May25_03-22-50
epoch:25, train:0.559, valid:0.402, threshold: [0.65713887 1.6761568  2.44274306 2.65252474 4.50108595], score:0.819, best:0.819, date:May25_03-35-02
epoch:26, train:0.545, valid:0.390, threshold: [0.55401271 1.68522865 2.27680457 3.05978633 4.32939763], score:0.821, best:0.821, date:May25_03-47-13
epoch:27, train:0.553, valid:0.385, threshold: [0.66951172 1.86901969 2.14175309 2.97249186 3.91333518], score:0.816, best:0.821, date:May25_03-59-25
epoch:28, train:0.539, valid:0.359, threshold: [0.64543556 1.91513934 2.38928147 1.41305121 3.53322846], score:0.827, best:0.827, date:May25_04-11-38
epoch:29, train:0.537, valid:0.372, threshold: [0.69610667 1.53436879 1.90697922 2.53684488 3.57959761], score:0.835, best:0.835, date:May25_04-23-50
epoch:30, train:0.531, valid:0.352, threshold: [0.66795124 1.38601583 1.85405016 2.68162089 4.26767397], score:0.837, best:0.837, date:May25_04-36-02
epoch:31, train:0.517, valid:0.381, threshold: [0.68418882 1.45229079 1.87065458 2.42223037 4.80937282], score:0.825, best:0.837, date:May25_04-48-15
epoch:32, train:0.512, valid:0.371, threshold: [0.60694773 1.68261324 1.9111492  2.38378284 5.03145561], score:0.824, best:0.837, date:May25_05-00-28
epoch:33, train:0.508, valid:0.376, threshold: [0.68148613 1.9028244  1.46426942 2.64015906 4.59999686], score:0.836, best:0.837, date:May25_05-12-41
epoch:34, train:0.519, valid:0.353, threshold: [0.6719289  1.75372805 1.38888272 2.44020749 3.81163843], score:0.843, best:0.843, date:May25_05-24-54
epoch:35, train:0.504, valid:0.346, threshold: [0.63332119 1.63524693 1.9877476  2.51480536 4.27527039], score:0.835, best:0.843, date:May25_05-37-07
epoch:36, train:0.504, valid:0.356, threshold: [0.67135509 1.93890422 2.3911637  1.29370733 3.80192236], score:0.839, best:0.843, date:May25_05-49-21
epoch:37, train:0.508, valid:0.354, threshold: [0.62450294 1.45632099 2.31041841 2.51629344 4.55852934], score:0.825, best:0.843, date:May25_06-01-34
epoch:38, train:0.497, valid:0.336, threshold: [0.72049571 1.5200337  2.41203217 2.1149209  3.71842548], score:0.844, best:0.844, date:May25_06-13-49
epoch:39, train:0.493, valid:0.353, threshold: [0.65020249 1.70244407 2.01325409 2.50905469 4.57569461], score:0.835, best:0.844, date:May25_06-26-03
epoch:40, train:0.494, valid:0.425, threshold: [0.6205361  1.55738427 2.07800062 2.85734485 4.92629578], score:0.841, best:0.844, date:May25_06-38-17
epoch:41, train:0.499, valid:0.322, threshold: [0.62612238 1.68473088 2.02964181 2.89045419 3.94017782], score:0.842, best:0.844, date:May25_06-50-32
epoch:42, train:0.487, valid:0.380, threshold: [0.6471424  1.42525016 2.34529192 1.87829981 4.71634582], score:0.830, best:0.844, date:May25_07-02-47
epoch:43, train:0.496, valid:0.353, threshold: [0.65527637 1.51224896 2.57085491 1.9352606  4.72907822], score:0.834, best:0.844, date:May25_07-15-02
epoch:44, train:0.497, valid:0.366, threshold: [0.87880092 1.77440177 2.51281572 1.51530934 3.31476364], score:0.843, best:0.844, date:May25_07-27-17
epoch:45, train:0.484, valid:0.345, threshold: [0.68106701 1.59368344 2.48041757 1.92806718 3.95314502], score:0.845, best:0.845, date:May25_07-39-32
epoch:46, train:0.482, valid:0.318, threshold: [0.57519707 1.65760123 2.05394936 2.72451474 4.32268585], score:0.846, best:0.846, date:May25_07-51-47
epoch:47, train:0.480, valid:0.329, threshold: [0.63913962 1.61866661 2.57114826 2.04491786 4.78206115], score:0.841, best:0.846, date:May25_08-04-02
epoch:48, train:0.492, valid:0.330, threshold: [0.75818536 1.46397207 2.00045765 2.88671039 4.00780878], score:0.850, best:0.850, date:May25_08-16-18
epoch:49, train:0.487, valid:0.358, threshold: [0.63846284 1.84452625 2.00404849 1.24817781 5.06580728], score:0.836, best:0.850, date:May25_08-28-33
epoch:50, train:0.480, valid:0.338, threshold: [0.72732236 1.82399003 2.42864448 1.48062546 3.54675616], score:0.850, best:0.850, date:May25_08-40-49
epoch:51, train:0.486, valid:0.331, threshold: [0.68123443 1.72085127 2.27702428 2.69114514 3.51930356], score:0.845, best:0.850, date:May25_08-53-05
epoch:52, train:0.469, valid:0.375, threshold: [0.65231335 1.57262445 1.74367527 2.41382447 4.828495  ], score:0.833, best:0.850, date:May25_09-05-21
epoch:53, train:0.473, valid:0.318, threshold: [0.65127645 1.51126196 2.23477177 2.81679958 3.93424064], score:0.853, best:0.853, date:May25_09-17-37
epoch:54, train:0.464, valid:0.330, threshold: [0.58227426 1.45193894 2.60619087 2.12542499 4.69484156], score:0.846, best:0.853, date:May25_09-29-53
epoch:55, train:0.481, valid:0.309, threshold: [0.69014411 1.56726667 2.10678083 2.79758794 3.68112958], score:0.855, best:0.855, date:May25_09-42-09
epoch:56, train:0.480, valid:0.318, threshold: [0.678767   1.84502341 1.62029128 2.72875018 3.52696005], score:0.853, best:0.855, date:May25_09-54-25
epoch:57, train:0.460, valid:0.313, threshold: [0.64583574 1.51419877 2.1058144  2.82947801 3.51003736], score:0.852, best:0.855, date:May25_10-06-40
epoch:58, train:0.458, valid:0.350, threshold: [0.66744578 1.67000249 2.51647163 1.56809049 4.7897771 ], score:0.842, best:0.855, date:May25_10-18-56
epoch:59, train:0.471, valid:0.331, threshold: [0.60552146 1.5518299  2.62831089 2.14819194 4.48597488], score:0.837, best:0.855, date:May25_10-31-12
epoch:60, train:0.453, valid:0.312, threshold: [0.60484998 1.5206493  2.54737373 2.87313985 4.12570624], score:0.847, best:0.855, date:May25_10-43-27
epoch:61, train:0.466, valid:0.313, threshold: [0.65070824 1.66277391 2.69464991 2.03606999 4.30251816], score:0.850, best:0.855, date:May25_10-55-44
epoch:62, train:0.458, valid:0.310, threshold: [0.65137246 1.81268146 2.76514528 1.49609052 3.44157461], score:0.859, best:0.859, date:May25_11-08-00
epoch:63, train:0.450, valid:0.322, threshold: [0.65689878 1.78220322 2.50056513 1.45608498 3.53398175], score:0.855, best:0.859, date:May25_11-20-17
epoch:64, train:0.459, valid:0.336, threshold: [0.63410012 1.53741455 2.03213688 2.59300046 4.80579792], score:0.844, best:0.859, date:May25_11-32-32
epoch:65, train:0.457, valid:0.331, threshold: [0.57892719 1.70115543 2.33483187 2.94148674 4.52342033], score:0.839, best:0.859, date:May25_11-44-48
epoch:66, train:0.450, valid:0.309, threshold: [0.6001098  1.79227096 2.31742136 3.03424532 3.76536359], score:0.852, best:0.859, date:May25_11-57-04
epoch:67, train:0.458, valid:0.318, threshold: [0.67708421 1.77140957 2.20728536 2.75974355 3.55380304], score:0.852, best:0.859, date:May25_12-09-21
epoch:68, train:0.455, valid:0.312, threshold: [0.73795125 1.78516756 2.07313707 2.72503558 4.10258427], score:0.855, best:0.859, date:May25_12-21-36
epoch:69, train:0.458, valid:0.305, threshold: [0.57979089 1.63894468 2.41639358 2.90766078 4.1239798 ], score:0.852, best:0.859, date:May25_12-33-52
epoch:70, train:0.458, valid:0.319, threshold: [0.57490456 1.38925131 2.92012783 1.9977781  3.82720943], score:0.853, best:0.859, date:May25_12-46-08
epoch:71, train:0.448, valid:0.331, threshold: [0.65902573 1.39149279 2.64116256 1.97519268 3.49398792], score:0.858, best:0.859, date:May25_12-58-25
epoch:72, train:0.448, valid:0.335, threshold: [0.61898482 1.68478397 2.63712011 2.07002593 5.0894031 ], score:0.843, best:0.859, date:May25_13-10-41
epoch:73, train:0.450, valid:0.321, threshold: [0.72091432 1.5681993  2.07752369 2.72783808 3.63059037], score:0.856, best:0.859, date:May25_13-22-58
epoch:74, train:0.460, valid:0.297, threshold: [0.54827993 1.61351513 2.24168098 2.89932913 4.58322386], score:0.853, best:0.859, date:May25_13-35-15
epoch:75, train:0.442, valid:0.313, threshold: [0.67849126 1.61235872 2.53025755 2.01869253 4.6045567 ], score:0.848, best:0.859, date:May25_13-47-32
epoch:76, train:0.436, valid:0.300, threshold: [0.61153472 1.54230181 2.37440028 2.88544967 3.89429593], score:0.855, best:0.859, date:May25_13-59-48
epoch:77, train:0.459, valid:0.290, threshold: [0.63254275 1.65887428 2.13435303 2.88510632 4.02209591], score:0.861, best:0.861, date:May25_14-12-05
epoch:78, train:0.452, valid:0.303, threshold: [0.62500712 1.80705783 2.12171058 2.91752907 3.84740996], score:0.857, best:0.861, date:May25_14-24-22
epoch:79, train:0.444, valid:0.297, threshold: [0.53579643 1.57545323 2.54413856 3.04674885 4.46162443], score:0.852, best:0.861, date:May25_14-36-38
epoch:80, train:0.457, valid:0.317, threshold: [0.77283076 1.98206383 2.71224352 1.57542936 3.49382862], score:0.863, best:0.863, date:May25_14-48-55
epoch:81, train:0.444, valid:0.304, threshold: [0.6142008  1.56903141 2.86951467 1.96332402 3.93584169], score:0.856, best:0.863, date:May25_15-01-11
epoch:82, train:0.452, valid:0.310, threshold: [0.57799509 1.56829075 2.31255301 2.77736048 4.71338954], score:0.850, best:0.863, date:May25_15-13-26
epoch:83, train:0.450, valid:0.319, threshold: [0.57018211 1.44820182 2.55811185 1.97430843 4.71959958], score:0.850, best:0.863, date:May25_15-25-43
epoch:84, train:0.442, valid:0.323, threshold: [0.52577258 1.6345631  2.53025226 1.87112243 4.89639719], score:0.846, best:0.863, date:May25_15-37-59
epoch:85, train:0.441, valid:0.323, threshold: [0.63661386 1.61928686 2.56744491 1.9920237  4.86227034], score:0.849, best:0.863, date:May25_15-50-16
epoch:86, train:0.445, valid:0.289, threshold: [0.57184655 1.68909399 2.24602659 2.83892436 4.73187364], score:0.858, best:0.863, date:May25_16-02-32
epoch:87, train:0.451, valid:0.302, threshold: [0.57766539 1.78356391 2.16275497 2.80756733 4.12077126], score:0.857, best:0.863, date:May25_16-14-49
epoch:88, train:0.433, valid:0.304, threshold: [0.57374527 1.57236796 2.2512888  2.71200576 4.6204439 ], score:0.852, best:0.863, date:May25_16-27-06
epoch:89, train:0.450, valid:0.298, threshold: [0.5995209  1.42876787 2.04754751 2.76429111 4.32225976], score:0.858, best:0.863, date:May25_16-39-22
epoch:90, train:0.432, valid:0.295, threshold: [0.58704287 1.78924983 2.22174207 2.84291384 3.64109605], score:0.858, best:0.863, date:May25_16-51-38
epoch:91, train:0.447, valid:0.332, threshold: [0.68173625 1.90304185 2.33429686 1.28269129 3.87668132], score:0.854, best:0.863, date:May25_17-03-55
epoch:92, train:0.441, valid:0.303, threshold: [0.48748031 1.76626045 2.7196591  2.18168947 4.32973923], score:0.852, best:0.863, date:May25_17-16-10
epoch:93, train:0.441, valid:0.306, threshold: [0.62678164 1.76891171 2.02520738 2.69106554 4.05508879], score:0.857, best:0.863, date:May25_17-28-25
epoch:94, train:0.453, valid:0.313, threshold: [0.70086997 1.90542061 1.53507056 2.78061433 3.37066131], score:0.861, best:0.863, date:May25_17-40-41
epoch:95, train:0.444, valid:0.321, threshold: [0.66810962 1.57624523 2.3557598  2.92160006 3.77661475], score:0.854, best:0.863, date:May25_17-52-57
epoch:96, train:0.452, valid:0.344, threshold: [0.68183902 1.79580482 2.46785597 1.32459835 3.95251682], score:0.857, best:0.863, date:May25_18-05-13
epoch:97, train:0.436, valid:0.344, threshold: [0.76735079 1.37838396 1.94763778 2.46682177 3.46921189], score:0.859, best:0.863, date:May25_18-17-29
epoch:98, train:0.448, valid:0.307, threshold: [0.62389336 1.77335098 2.28131582 2.79392522 3.42429328], score:0.859, best:0.863, date:May25_18-29-45
epoch:99, train:0.449, valid:0.307, threshold: [0.620489   1.72967731 2.14294249 2.87058815 3.79835973], score:0.856, best:0.863, date:May25_18-42-01
training finished: May25_18-42-01
