available cuda: 2
training started: Jun06_16-53-31
epoch:00, train:0.925, valid:0.710, threshold: [0.63326391 0.9089794  1.43826707 1.97699837 6.2114195 ], score:0.613, best:0.613, date:Jun06_17-04-43
epoch:29, train:0.493, valid:0.428, threshold: [0.69964539 1.31155408 1.59974547 2.48547468 5.20733537], score:0.810, best:0.839, date:Jun06_22-26-09
epoch:30, train:0.490, valid:0.397, threshold: [0.65172666 1.62820434 2.26997671 2.68511468 4.47576082], score:0.814, best:0.839, date:Jun06_22-37-15
epoch:31, train:0.497, valid:0.365, threshold: [0.74962964 1.51541059 2.29832251 2.6423148  3.44321715], score:0.838, best:0.839, date:Jun06_22-48-22
epoch:32, train:0.483, valid:0.368, threshold: [0.77491097 1.5398744  2.04930182 2.46192138 3.45698794], score:0.840, best:0.840, date:Jun06_22-59-26
epoch:33, train:0.490, valid:0.411, threshold: [0.94466781 1.81653631 2.04196946 2.58873329 3.44172158], score:0.839, best:0.840, date:Jun06_23-10-31
epoch:34, train:0.484, valid:0.400, threshold: [0.9437475  1.79164562 2.34071154 2.64617558 3.28362921], score:0.848, best:0.848, date:Jun06_23-21-37
epoch:35, train:0.486, valid:0.368, threshold: [0.67529093 1.39676303 1.81229707 2.57528907 4.54007851], score:0.832, best:0.848, date:Jun06_23-32-40
epoch:36, train:0.474, valid:0.378, threshold: [0.74252375 1.71084003 2.35084242 2.83914964 3.28876267], score:0.851, best:0.851, date:Jun06_23-43-47
epoch:37, train:0.486, valid:0.376, threshold: [0.80530075 1.56433256 2.094117   2.56514141 3.32354334], score:0.842, best:0.851, date:Jun06_23-54-50
epoch:38, train:0.478, valid:0.397, threshold: [0.83296313 1.48604662 2.10138753 2.35293206 3.29249308], score:0.840, best:0.851, date:Jun07_00-05-59
epoch:39, train:0.486, valid:0.408, threshold: [1.00382766 1.51216575 2.40311552 2.74007198 5.17843431], score:0.829, best:0.851, date:Jun07_00-17-05
epoch:40, train:0.473, valid:0.441, threshold: [0.6362081  1.24564196 1.72305974 2.51005076 4.84625561], score:0.815, best:0.851, date:Jun07_00-28-11
epoch:41, train:0.460, valid:0.358, threshold: [0.75714382 1.65389567 2.17737526 2.61832982 4.50465984], score:0.837, best:0.851, date:Jun07_00-39-17
epoch:42, train:0.469, valid:0.360, threshold: [0.69263713 1.67047541 2.25855286 2.81573461 3.35515598], score:0.846, best:0.851, date:Jun07_00-50-24
epoch:43, train:0.468, valid:0.380, threshold: [0.60947705 1.57340277 1.94416881 2.51669318 4.81173538], score:0.836, best:0.851, date:Jun07_01-01-26
epoch:44, train:0.473, valid:0.370, threshold: [0.73878762 1.53753635 1.92708737 2.58039445 3.30733668], score:0.850, best:0.851, date:Jun07_01-12-34
epoch:45, train:0.460, valid:0.342, threshold: [0.63346502 1.6184419  2.23353191 2.50464815 4.60350736], score:0.833, best:0.851, date:Jun07_01-24-11
epoch:46, train:0.456, valid:0.399, threshold: [0.5326077  1.67979938 2.54641869 2.90948289 4.44067505], score:0.794, best:0.851, date:Jun07_01-36-02
epoch:47, train:0.476, valid:0.398, threshold: [0.53002554 1.64348835 2.45284574 2.83839187 4.61272637], score:0.789, best:0.851, date:Jun07_01-47-36
epoch:48, train:0.468, valid:0.410, threshold: [0.75169846 1.56448932 2.10830619 2.64158746 4.65507784], score:0.829, best:0.851, date:Jun07_01-59-06
epoch:49, train:0.465, valid:0.397, threshold: [0.65003349 1.53121086 2.1144859  2.45053369 4.72406434], score:0.829, best:0.851, date:Jun07_02-10-11
training finished: Jun07_02-10-11
