training started: May09_22-17-36
epoch: 0, train:  0.240, valid:  0.507, best:  0.507, date: May09_22-21-58
epoch: 28, train:  0.760, valid:  0.804, best:  0.808, date: May10_00-23-42
epoch: 29, train:  0.765, valid:  0.770, best:  0.808, date: May10_00-28-03
epoch: 30, train:  0.769, valid:  0.791, best:  0.808, date: May10_00-32-25
epoch: 31, train:  0.778, valid:  0.817, best:  0.817, date: May10_00-36-47
epoch: 32, train:  0.785, valid:  0.789, best:  0.817, date: May10_00-41-09
epoch: 33, train:  0.787, valid:  0.801, best:  0.817, date: May10_00-45-30
epoch: 34, train:  0.777, valid:  0.806, best:  0.817, date: May10_00-49-51
epoch: 35, train:  0.787, valid:  0.812, best:  0.817, date: May10_00-54-13
epoch: 36, train:  0.790, valid:  0.815, best:  0.817, date: May10_00-58-35
epoch: 37, train:  0.796, valid:  0.816, best:  0.817, date: May10_01-02-57
epoch: 38, train:  0.787, valid:  0.812, best:  0.817, date: May10_01-07-18
epoch: 39, train:  0.798, valid:  0.815, best:  0.817, date: May10_01-11-40
epoch: 40, train:  0.798, valid:  0.817, best:  0.817, date: May10_01-16-02
epoch: 41, train:  0.807, valid:  0.824, best:  0.824, date: May10_01-20-23
epoch: 42, train:  0.805, valid:  0.821, best:  0.824, date: May10_01-24-45
epoch: 43, train:  0.807, valid:  0.832, best:  0.832, date: May10_01-29-05
epoch: 44, train:  0.800, valid:  0.809, best:  0.832, date: May10_01-33-25
epoch: 45, train:  0.808, valid:  0.818, best:  0.832, date: May10_01-37-45
epoch: 46, train:  0.816, valid:  0.829, best:  0.832, date: May10_01-42-05
epoch: 47, train:  0.814, valid:  0.802, best:  0.832, date: May10_01-46-25
epoch: 48, train:  0.816, valid:  0.823, best:  0.832, date: May10_01-50-44
epoch: 49, train:  0.814, valid:  0.815, best:  0.832, date: May10_01-55-05
epoch: 50, train:  0.819, valid:  0.816, best:  0.832, date: May10_01-59-25
epoch: 51, train:  0.820, valid:  0.819, best:  0.832, date: May10_02-03-45
epoch: 52, train:  0.827, valid:  0.816, best:  0.832, date: May10_02-08-06
epoch: 53, train:  0.828, valid:  0.817, best:  0.832, date: May10_02-12-27
epoch: 54, train:  0.831, valid:  0.802, best:  0.832, date: May10_02-16-48
epoch: 55, train:  0.827, valid:  0.802, best:  0.832, date: May10_02-21-08
epoch: 56, train:  0.831, valid:  0.826, best:  0.832, date: May10_02-25-29
epoch: 57, train:  0.836, valid:  0.827, best:  0.832, date: May10_02-29-49
epoch: 58, train:  0.836, valid:  0.841, best:  0.841, date: May10_02-34-09
epoch: 59, train:  0.836, valid:  0.823, best:  0.841, date: May10_02-38-30
epoch: 60, train:  0.841, valid:  0.832, best:  0.841, date: May10_02-42-50
epoch: 61, train:  0.849, valid:  0.820, best:  0.841, date: May10_02-47-10
epoch: 62, train:  0.846, valid:  0.824, best:  0.841, date: May10_02-51-31
epoch: 63, train:  0.845, valid:  0.818, best:  0.841, date: May10_02-55-51
epoch: 64, train:  0.853, valid:  0.832, best:  0.841, date: May10_03-00-12
epoch: 65, train:  0.859, valid:  0.828, best:  0.841, date: May10_03-04-33
epoch: 66, train:  0.856, valid:  0.836, best:  0.841, date: May10_03-08-53
epoch: 67, train:  0.862, valid:  0.836, best:  0.841, date: May10_03-13-13
epoch: 68, train:  0.866, valid:  0.821, best:  0.841, date: May10_03-17-34
epoch: 69, train:  0.860, valid:  0.832, best:  0.841, date: May10_03-21-54
epoch: 70, train:  0.859, valid:  0.829, best:  0.841, date: May10_03-26-15
epoch: 71, train:  0.874, valid:  0.829, best:  0.841, date: May10_03-30-36
epoch: 72, train:  0.871, valid:  0.825, best:  0.841, date: May10_03-34-56
epoch: 73, train:  0.871, valid:  0.831, best:  0.841, date: May10_03-39-17
epoch: 74, train:  0.873, valid:  0.831, best:  0.841, date: May10_03-43-38
epoch: 75, train:  0.875, valid:  0.832, best:  0.841, date: May10_03-47-58
epoch: 76, train:  0.878, valid:  0.836, best:  0.841, date: May10_03-52-19
epoch: 77, train:  0.872, valid:  0.823, best:  0.841, date: May10_03-56-39
epoch: 78, train:  0.878, valid:  0.836, best:  0.841, date: May10_04-00-59
epoch: 79, train:  0.880, valid:  0.826, best:  0.841, date: May10_04-05-20
epoch: 80, train:  0.876, valid:  0.828, best:  0.841, date: May10_04-09-41
epoch: 81, train:  0.878, valid:  0.838, best:  0.841, date: May10_04-14-02
epoch: 82, train:  0.879, valid:  0.825, best:  0.841, date: May10_04-18-22
epoch: 83, train:  0.885, valid:  0.840, best:  0.841, date: May10_04-22-42
epoch: 84, train:  0.881, valid:  0.835, best:  0.841, date: May10_04-27-03
epoch: 85, train:  0.888, valid:  0.826, best:  0.841, date: May10_04-31-24
epoch: 86, train:  0.887, valid:  0.840, best:  0.841, date: May10_04-35-45
epoch: 87, train:  0.888, valid:  0.834, best:  0.841, date: May10_04-40-05
epoch: 88, train:  0.887, valid:  0.835, best:  0.841, date: May10_04-44-26
epoch: 89, train:  0.885, valid:  0.824, best:  0.841, date: May10_04-48-47
epoch: 90, train:  0.896, valid:  0.836, best:  0.841, date: May10_04-53-07
epoch: 91, train:  0.893, valid:  0.830, best:  0.841, date: May10_04-57-27
epoch: 92, train:  0.894, valid:  0.831, best:  0.841, date: May10_05-01-47
epoch: 93, train:  0.899, valid:  0.823, best:  0.841, date: May10_05-06-08
epoch: 94, train:  0.897, valid:  0.832, best:  0.841, date: May10_05-10-29
epoch: 95, train:  0.901, valid:  0.834, best:  0.841, date: May10_05-14-49
epoch: 96, train:  0.896, valid:  0.826, best:  0.841, date: May10_05-19-09
epoch: 97, train:  0.906, valid:  0.834, best:  0.841, date: May10_05-23-30
epoch: 98, train:  0.902, valid:  0.833, best:  0.841, date: May10_05-27-50
epoch: 99, train:  0.901, valid:  0.826, best:  0.841, date: May10_05-32-11
training finished: May10_05-32-11
