available cuda: 2
training started: May28_04-02-40
epoch:00, train:1.066, valid:0.625, threshold: [0.75118219 1.11639077 1.5894747  2.12730949 5.30482213], score:0.664, best:0.664, date:May28_04-15-19
epoch:14, train:0.621, valid:0.484, threshold: [0.63633096 1.54638948 2.28601023 2.66675053 4.03770206], score:0.756, best:0.756, date:May28_07-11-24
epoch:15, train:0.611, valid:0.444, threshold: [0.71576173 1.73337737 2.00121997 2.80463355 3.35990686], score:0.770, best:0.770, date:May28_07-23-56
epoch:16, train:0.593, valid:0.497, threshold: [0.91790594 1.65846754 2.60652769 3.08802031 3.62681651], score:0.778, best:0.778, date:May28_07-36-31
epoch:17, train:0.583, valid:0.488, threshold: [0.69856889 1.19727177 1.72569564 2.57487592 5.33671253], score:0.744, best:0.778, date:May28_07-49-03
epoch:18, train:0.588, valid:0.455, threshold: [0.6963602  1.32908933 2.04767897 2.41471519 3.95184909], score:0.783, best:0.783, date:May28_08-01-41
epoch:19, train:0.585, valid:0.480, threshold: [0.68157558 1.27775184 1.89140564 2.22051477 5.24293037], score:0.777, best:0.783, date:May28_08-14-20
epoch:20, train:0.592, valid:0.543, threshold: [0.69035524 1.01135503 1.7169738  2.1332042  5.75192144], score:0.761, best:0.783, date:May28_08-26-54
epoch:21, train:0.571, valid:0.401, threshold: [0.72806439 1.54103459 1.98513408 2.57917344 3.4953829 ], score:0.808, best:0.808, date:May28_08-39-28
epoch:22, train:0.559, valid:0.445, threshold: [0.64070724 1.48607033 1.98423846 2.48077262 5.08854267], score:0.768, best:0.808, date:May28_08-52-02
epoch:23, train:0.558, valid:0.407, threshold: [0.56548525 1.56634411 2.252084   2.85089867 4.82551449], score:0.775, best:0.808, date:May28_09-04-36
epoch:24, train:0.554, valid:0.506, threshold: [0.70544384 1.26631552 1.87662001 2.33153384 5.61789807], score:0.766, best:0.808, date:May28_09-17-12
epoch:25, train:0.557, valid:0.429, threshold: [0.76476183 1.25696185 1.89636761 2.28032545 4.3474173 ], score:0.811, best:0.811, date:May28_09-29-47
epoch:26, train:0.543, valid:0.398, threshold: [0.80728703 1.50301174 2.04816722 3.00179521 3.57474738], score:0.810, best:0.811, date:May28_09-42-20
epoch:27, train:0.544, valid:0.471, threshold: [0.70503379 1.14451123 1.66824365 2.51388268 4.22902954], score:0.796, best:0.811, date:May28_09-54-56
epoch:28, train:0.539, valid:0.447, threshold: [0.76607225 1.57025469 1.93293296 2.59144606 3.46349343], score:0.801, best:0.811, date:May28_10-07-33
epoch:29, train:0.553, valid:0.547, threshold: [0.54850241 1.57853588 2.40275415 3.07583723 4.16797733], score:0.769, best:0.811, date:May28_10-20-05
epoch:30, train:0.516, valid:0.468, threshold: [0.69262816 1.54586322 1.69588726 2.48513327 4.86796982], score:0.782, best:0.811, date:May28_10-32-39
epoch:31, train:0.523, valid:0.713, threshold: [0.67306114 1.28754845 1.66651207 2.36779898 5.46403463], score:0.776, best:0.811, date:May28_10-45-11
epoch:32, train:0.514, valid:0.853, threshold: [0.66032983 1.38839763 2.11819612 2.77079278 3.70374394], score:0.773, best:0.811, date:May28_10-57-43
epoch:33, train:0.515, valid:0.610, threshold: [0.68280016 1.54079764 1.84120984 2.64931569 3.59072567], score:0.788, best:0.811, date:May28_11-10-21
epoch:34, train:0.507, valid:0.486, threshold: [0.72194762 1.62215469 1.96289492 2.47592804 3.52615289], score:0.800, best:0.811, date:May28_11-22-54
epoch:35, train:0.499, valid:0.792, threshold: [0.69739333 1.50459677 1.69728897 2.18677764 4.00655329], score:0.769, best:0.811, date:May28_11-35-31
epoch:36, train:0.487, valid:0.785, threshold: [0.58276592 1.30586486 1.58923193 2.35914968 4.49565231], score:0.786, best:0.811, date:May28_11-48-08
epoch:37, train:0.502, valid:0.665, threshold: [0.63711431 1.8509111  2.09076738 2.84037028 3.39621992], score:0.786, best:0.811, date:May28_12-00-48
epoch:38, train:0.496, valid:0.409, threshold: [0.66781386 1.29156967 1.97084142 2.42845265 3.96491931], score:0.814, best:0.814, date:May28_12-13-28
epoch:39, train:0.498, valid:0.380, threshold: [0.67037433 1.54213242 1.93092664 2.36577133 4.93676006], score:0.822, best:0.822, date:May28_12-26-08
epoch:40, train:0.492, valid:0.420, threshold: [0.69037662 1.34856743 1.67972143 2.14875686 5.71389181], score:0.821, best:0.822, date:May28_12-38-51
epoch:41, train:0.497, valid:0.360, threshold: [0.58009764 1.70552147 2.30907789 2.80104899 3.70294891], score:0.835, best:0.835, date:May28_12-51-32
epoch:42, train:0.498, valid:0.379, threshold: [0.75657527 1.62099438 2.23386949 2.63774119 3.79311891], score:0.830, best:0.835, date:May28_13-04-15
epoch:43, train:0.484, valid:0.423, threshold: [0.66112112 1.58827263 1.77979795 2.39870747 5.03131624], score:0.815, best:0.835, date:May28_13-16-55
epoch:44, train:0.486, valid:0.383, threshold: [0.69408009 1.26198191 1.71729552 2.22536252 5.31333222], score:0.827, best:0.835, date:May28_13-29-33
epoch:45, train:0.479, valid:0.338, threshold: [0.72375284 1.48613936 2.07881545 2.75320532 3.52932018], score:0.844, best:0.844, date:May28_13-42-12
epoch:46, train:0.481, valid:0.391, threshold: [0.73441244 1.45129908 1.97621344 2.56313907 3.48960524], score:0.839, best:0.844, date:May28_13-54-51
epoch:47, train:0.465, valid:0.381, threshold: [0.6125624  1.57108966 2.01282113 2.73444593 3.86892083], score:0.846, best:0.846, date:May28_14-07-30
epoch:48, train:0.464, valid:0.399, threshold: [0.63962031 1.32868945 1.65859085 2.46845565 5.29115835], score:0.825, best:0.846, date:May28_14-20-06
epoch:49, train:0.477, valid:0.482, threshold: [0.61950799 1.58797524 1.94143878 2.53442868 4.75840431], score:0.845, best:0.846, date:May28_14-32-41
epoch:50, train:0.470, valid:0.372, threshold: [0.61257215 1.57527767 2.03274555 2.76982661 4.80474047], score:0.842, best:0.846, date:May28_14-45-21
epoch:51, train:0.448, valid:0.443, threshold: [0.62004865 1.64976189 2.36154342 2.65658414 3.96756499], score:0.838, best:0.846, date:May28_14-57-58
epoch:52, train:0.461, valid:0.631, threshold: [0.89442431 1.43710817 2.02403515 2.61395867 5.14448057], score:0.847, best:0.847, date:May28_15-10-33
epoch:53, train:0.465, valid:0.377, threshold: [0.61751017 1.6067788  1.93658218 2.68191319 4.99761006], score:0.830, best:0.847, date:May28_15-23-10
epoch:54, train:0.462, valid:0.403, threshold: [0.6580504  1.71693663 1.92242348 2.7067327  3.7823433 ], score:0.849, best:0.849, date:May28_15-35-48
epoch:55, train:0.464, valid:0.388, threshold: [0.59639297 1.48563752 2.19567747 2.62779734 5.02353518], score:0.843, best:0.849, date:May28_15-48-24
epoch:56, train:0.460, valid:0.485, threshold: [0.59489963 1.69988245 2.03740346 2.69958014 4.6451863 ], score:0.849, best:0.849, date:May28_16-00-58
epoch:57, train:0.462, valid:0.361, threshold: [0.56172872 1.52636891 2.20650968 2.83365158 4.85669829], score:0.836, best:0.849, date:May28_16-13-36
