available cuda: 2
loading data: May24_23-58-11
data loaded: May25_00-02-57
training started: May25_00-02-57
epoch:00, train:1.087, valid:19.073, threshold: [ 0.53935703  1.84038157 -0.2173664   3.45718419  1.15048752], score:0.098, best:0.098, date:May25_00-15-26
epoch:54, train:0.484, valid:0.341, threshold: [0.65507602 1.65073858 2.23726728 3.09604502 3.9180899 ], score:0.844, best:0.854, date:May25_11-16-12
epoch:55, train:0.468, valid:0.331, threshold: [0.63139607 1.56182552 2.82135698 2.01761476 3.50478313], score:0.852, best:0.854, date:May25_11-28-29
epoch:56, train:0.483, valid:0.359, threshold: [0.66031641 1.44394356 2.46016187 1.92830837 5.25145877], score:0.830, best:0.854, date:May25_11-40-46
epoch:57, train:0.476, valid:0.352, threshold: [0.62640337 1.88828516 2.45892685 1.42453267 3.35670975], score:0.851, best:0.854, date:May25_11-53-03
epoch:58, train:0.474, valid:0.347, threshold: [0.67818829 1.98275249 2.44986265 1.50180583 3.392844  ], score:0.849, best:0.854, date:May25_12-05-20
epoch:59, train:0.467, valid:0.337, threshold: [0.6381715  1.68361488 2.29901767 2.79154965 3.56101524], score:0.845, best:0.854, date:May25_12-17-38
epoch:60, train:0.473, valid:0.326, threshold: [0.62182733 1.73484518 2.06402878 2.75741528 3.62603544], score:0.847, best:0.854, date:May25_12-29-55
epoch:61, train:0.464, valid:0.311, threshold: [0.71949851 1.47750287 2.07969858 2.88886723 3.81422773], score:0.853, best:0.854, date:May25_12-42-12
epoch:62, train:0.473, valid:0.319, threshold: [0.62726129 1.65447092 1.94260893 2.76108624 3.75412609], score:0.851, best:0.854, date:May25_12-54-29
epoch:63, train:0.476, valid:0.342, threshold: [0.75280838 1.38640368 1.98722173 2.65382039 3.57480967], score:0.855, best:0.855, date:May25_13-06-47
epoch:64, train:0.469, valid:0.336, threshold: [0.66765604 1.7088009  2.21791259 2.6815623  3.53170148], score:0.846, best:0.855, date:May25_13-19-04
epoch:65, train:0.465, valid:0.325, threshold: [0.63791048 1.70508575 2.08084879 2.64528067 3.63366169], score:0.849, best:0.855, date:May25_13-31-22
epoch:66, train:0.465, valid:0.312, threshold: [0.58811971 1.42087077 2.38404135 3.00287929 3.73652185], score:0.851, best:0.855, date:May25_13-43-39
epoch:67, train:0.450, valid:0.359, threshold: [0.59471834 1.32967757 2.61048612 2.04140419 5.06052042], score:0.833, best:0.855, date:May25_13-55-56
epoch:68, train:0.475, valid:0.319, threshold: [0.61483676 1.42312296 2.10515568 2.77840486 3.46471011], score:0.855, best:0.855, date:May25_14-08-13
epoch:69, train:0.458, valid:0.353, threshold: [0.76663566 1.4150527  2.52791812 1.93471879 3.5918449 ], score:0.851, best:0.855, date:May25_14-20-30
epoch:70, train:0.474, valid:0.311, threshold: [0.65538097 1.41499335 2.2392468  2.80738112 3.64975152], score:0.857, best:0.857, date:May25_14-32-48
epoch:71, train:0.470, valid:0.330, threshold: [0.62938176 1.8459137  2.59416885 1.40053511 3.9246795 ], score:0.853, best:0.857, date:May25_14-45-06
epoch:72, train:0.455, valid:0.328, threshold: [0.67691465 1.50816169 2.50940989 1.97276829 3.32641349], score:0.853, best:0.857, date:May25_14-57-24
epoch:73, train:0.454, valid:0.334, threshold: [0.67292141 1.77051418 1.36219224 2.30661472 5.12817871], score:0.831, best:0.857, date:May25_15-09-42
epoch:74, train:0.462, valid:0.343, threshold: [0.67210462 1.71090272 2.3428323  2.12889717 3.31290372], score:0.849, best:0.857, date:May25_15-21-59
epoch:75, train:0.460, valid:0.327, threshold: [0.60257575 1.89811231 2.6018558  1.35456357 3.46343795], score:0.855, best:0.857, date:May25_15-34-17
epoch:76, train:0.456, valid:0.380, threshold: [0.64553694 1.29683548 2.36697264 1.80578094 5.66992839], score:0.831, best:0.857, date:May25_15-46-34
epoch:77, train:0.456, valid:0.314, threshold: [0.65232187 1.54155656 2.01712306 2.84368505 3.51894637], score:0.859, best:0.859, date:May25_15-58-51
epoch:78, train:0.456, valid:0.310, threshold: [0.61142375 1.6766579  2.69867069 2.23358421 3.67688483], score:0.856, best:0.859, date:May25_16-11-09
epoch:79, train:0.458, valid:0.334, threshold: [0.62415963 1.57524117 2.56004539 2.19940587 4.51784728], score:0.841, best:0.859, date:May25_16-23-25
epoch:80, train:0.457, valid:0.335, threshold: [0.74258666 1.31284829 2.4062359  2.03256236 3.37624262], score:0.856, best:0.859, date:May25_16-35-43
epoch:81, train:0.442, valid:0.338, threshold: [0.63158764 1.46571002 2.48906377 1.92341162 4.7682354 ], score:0.841, best:0.859, date:May25_16-48-00
epoch:82, train:0.443, valid:0.334, threshold: [0.60103961 1.56864607 2.03301863 2.6052514  4.92178534], score:0.841, best:0.859, date:May25_17-00-18
epoch:83, train:0.456, valid:0.348, threshold: [0.5368831  1.71569219 1.32254314 2.55174941 5.43313517], score:0.840, best:0.859, date:May25_17-12-36
epoch:84, train:0.445, valid:0.303, threshold: [0.63343343 1.44079732 2.24772965 2.85026586 3.85194169], score:0.860, best:0.860, date:May25_17-24-54
epoch:85, train:0.449, valid:0.329, threshold: [0.72055964 1.8549794  2.70846299 1.45960503 3.40994636], score:0.859, best:0.860, date:May25_17-37-11
epoch:86, train:0.460, valid:0.339, threshold: [0.68311139 1.8940452  2.51710664 1.37477129 3.29421994], score:0.855, best:0.860, date:May25_17-49-29
epoch:87, train:0.456, valid:0.314, threshold: [0.71794384 1.52498127 2.28483726 2.70097096 4.06959461], score:0.858, best:0.860, date:May25_18-01-46
epoch:88, train:0.442, valid:0.308, threshold: [0.68788796 1.59077521 2.36766786 3.00153288 3.90867787], score:0.859, best:0.860, date:May25_18-14-04
epoch:89, train:0.447, valid:0.308, threshold: [0.58478636 1.68007246 2.4182223  2.90197259 3.89514684], score:0.852, best:0.860, date:May25_18-26-22
epoch:90, train:0.449, valid:0.308, threshold: [0.6537636  1.52790327 2.37194475 2.92286017 3.70642901], score:0.858, best:0.860, date:May25_18-38-39
epoch:91, train:0.450, valid:0.329, threshold: [0.79708009 1.57545906 2.59365867 3.02967081 3.64740357], score:0.855, best:0.860, date:May25_18-50-56
epoch:92, train:0.440, valid:0.335, threshold: [0.72911389 1.51065845 2.10439026 2.58911534 5.14267897], score:0.842, best:0.860, date:May25_19-03-12
epoch:93, train:0.467, valid:0.324, threshold: [0.63840946 1.75235574 2.63944145 2.23470667 3.49974013], score:0.857, best:0.860, date:May25_19-15-28
epoch:94, train:0.441, valid:0.330, threshold: [0.60648674 1.60008192 2.0153465  2.62855438 4.88851312], score:0.837, best:0.860, date:May25_19-27-45
epoch:95, train:0.447, valid:0.309, threshold: [0.67273952 1.58555966 2.43727492 2.93721756 3.75152509], score:0.858, best:0.860, date:May25_19-40-02
epoch:96, train:0.451, valid:0.309, threshold: [0.63155166 1.70008079 2.12454874 2.66665513 3.515428  ], score:0.857, best:0.860, date:May25_19-52-19
epoch:97, train:0.461, valid:0.314, threshold: [0.69981198 1.36425928 2.02825295 2.5915458  3.54028205], score:0.859, best:0.860, date:May25_20-04-35
epoch:98, train:0.449, valid:0.321, threshold: [0.70128253 1.93843206 2.13326819 1.33319153 3.47310811], score:0.851, best:0.860, date:May25_20-16-52
epoch:99, train:0.454, valid:0.327, threshold: [0.63708955 1.68172253 2.66320191 2.20261128 3.8232353 ], score:0.857, best:0.860, date:May25_20-29-09
training finished: May25_20-29-09
