available cuda: 2
Loaded pretrained weights for efficientnet-b0
training started: Jun10_10-37-41
epoch:00, train:0.942, valid:0.527, threshold: [0.76103922 1.24249974 1.83000246 2.2299982  4.55218845], score:0.745, best:0.745, date:Jun10_10-43-39
epoch:30, train:0.409, valid:0.291, threshold: [0.68523691 1.56980313 2.30174378 3.04922473 3.7430903 ], score:0.865, best:0.867, date:Jun10_13-39-12
epoch:31, train:0.396, valid:0.304, threshold: [0.6217197  1.49015358 1.97003272 2.87878801 4.55146203], score:0.854, best:0.867, date:Jun10_13-45-05
epoch:32, train:0.390, valid:0.322, threshold: [0.67834029 1.53235034 2.06804589 2.60526618 3.36724675], score:0.863, best:0.867, date:Jun10_13-50-57
epoch:33, train:0.383, valid:0.288, threshold: [0.62096915 1.58343717 2.38865923 2.71646182 3.85709063], score:0.863, best:0.867, date:Jun10_13-56-46
epoch:34, train:0.399, valid:0.323, threshold: [0.66456737 1.42458615 2.2393726  2.74618115 3.60761455], score:0.859, best:0.867, date:Jun10_14-02-39
epoch:35, train:0.393, valid:0.292, threshold: [0.66051948 1.5299817  2.23095068 2.71764131 3.71106513], score:0.868, best:0.868, date:Jun10_14-08-31
epoch:36, train:0.394, valid:0.297, threshold: [0.75169947 1.46687161 1.97793592 2.67029117 3.57688197], score:0.869, best:0.869, date:Jun10_14-14-22
epoch:37, train:0.390, valid:0.307, threshold: [0.68203469 1.55562016 2.27599498 2.80542093 3.51473106], score:0.868, best:0.869, date:Jun10_14-20-13
epoch:38, train:0.382, valid:0.284, threshold: [0.6137403  1.70849658 2.30596222 2.91481403 3.62023971], score:0.865, best:0.869, date:Jun10_14-26-04
epoch:39, train:0.398, valid:0.292, threshold: [0.64590386 1.58142271 2.26940579 2.90961646 3.5708825 ], score:0.865, best:0.869, date:Jun10_14-31-54
epoch:40, train:0.381, valid:0.280, threshold: [0.60035769 1.69704832 2.37619667 2.96383849 3.61508539], score:0.867, best:0.869, date:Jun10_14-37-44
epoch:41, train:0.380, valid:0.282, threshold: [0.6425515  1.52355787 2.27403668 2.70495328 3.65200195], score:0.871, best:0.871, date:Jun10_14-43-36
epoch:42, train:0.367, valid:0.281, threshold: [0.66562711 1.63263789 2.34761432 2.97633266 3.64886656], score:0.868, best:0.871, date:Jun10_14-49-28
epoch:43, train:0.376, valid:0.284, threshold: [0.71404471 1.54191134 2.26892106 2.98735231 3.76881361], score:0.872, best:0.872, date:Jun10_14-55-22
epoch:44, train:0.379, valid:0.285, threshold: [0.68980432 1.41255774 2.20696652 2.72906227 3.60292058], score:0.873, best:0.873, date:Jun10_15-01-11
epoch:45, train:0.385, valid:0.321, threshold: [0.76004326 1.42051064 2.04111499 2.66080792 3.15032576], score:0.872, best:0.873, date:Jun10_15-07-04
epoch:46, train:0.383, valid:0.307, threshold: [0.75229577 1.440424   1.90364825 2.39465953 3.33785396], score:0.866, best:0.873, date:Jun10_15-12-56
epoch:47, train:0.376, valid:0.294, threshold: [0.73236321 1.5199323  2.10497396 2.74431902 3.56548231], score:0.875, best:0.875, date:Jun10_15-18-47
epoch:48, train:0.382, valid:0.285, threshold: [0.68555486 1.66330229 2.30578328 2.76105399 3.54208196], score:0.872, best:0.875, date:Jun10_15-24-39
epoch:49, train:0.361, valid:0.313, threshold: [0.60180826 1.399263   2.17465321 2.54144604 4.86779087], score:0.855, best:0.875, date:Jun10_15-30-28
training finished: Jun10_15-30-28
