available cuda: 2
training started: May28_04-02-41
epoch:00, train:1.065, valid:0.620, threshold: [0.66595375 1.45790845 2.1072777  2.56330033 4.91804528], score:0.647, best:0.647, date:May28_04-19-00
epoch:13, train:0.654, valid:0.498, threshold: [0.7800094  1.50811704 1.80945964 2.22615651 4.18062279], score:0.754, best:0.780, date:May28_07-51-01
epoch:14, train:0.675, valid:0.504, threshold: [0.71434685 1.54033076 1.84971091 2.18299489 4.98876451], score:0.746, best:0.780, date:May28_08-07-15
epoch:15, train:0.637, valid:0.475, threshold: [0.63686686 1.6998803  1.95803943 2.40233761 4.85884819], score:0.748, best:0.780, date:May28_08-23-39
epoch:16, train:0.657, valid:0.451, threshold: [0.70434359 1.64193384 1.91908945 2.48403962 3.60830311], score:0.781, best:0.781, date:May28_08-39-56
epoch:17, train:0.630, valid:0.440, threshold: [0.71969594 1.52224192 1.86317306 2.37771573 4.55328192], score:0.783, best:0.783, date:May28_08-56-20
epoch:18, train:0.631, valid:0.436, threshold: [0.6905656  1.51105717 1.79600864 2.30292589 4.54969654], score:0.804, best:0.804, date:May28_09-12-42
epoch:19, train:0.631, valid:0.444, threshold: [0.70478417 1.63269658 1.88249447 2.73126255 4.51847372], score:0.792, best:0.804, date:May28_09-29-04
epoch:20, train:0.631, valid:0.442, threshold: [0.58627753 1.58565339 2.1513745  2.91214826 4.60469175], score:0.772, best:0.804, date:May28_09-45-29
epoch:21, train:0.622, valid:0.474, threshold: [0.70902882 1.39160004 1.69320006 2.22285781 4.95889973], score:0.785, best:0.804, date:May28_10-01-55
epoch:22, train:0.603, valid:0.447, threshold: [0.62724083 1.30074821 1.77811511 2.28416669 4.40199125], score:0.808, best:0.808, date:May28_10-18-21
epoch:23, train:0.623, valid:0.436, threshold: [0.81805236 1.3822855  1.85867882 2.38848994 3.2727416 ], score:0.806, best:0.808, date:May28_10-34-51
epoch:24, train:0.609, valid:0.469, threshold: [0.74674986 1.11991316 1.7020949  2.16042501 3.56604907], score:0.798, best:0.808, date:May28_10-51-08
epoch:25, train:0.593, valid:0.418, threshold: [0.6679246  1.42550357 1.87342104 2.45370813 4.31631803], score:0.805, best:0.808, date:May28_11-07-34
epoch:26, train:0.596, valid:0.480, threshold: [0.57860674 1.709295   2.48018875 3.07787542 4.34315785], score:0.787, best:0.808, date:May28_11-23-58
epoch:27, train:0.587, valid:0.409, threshold: [0.64358731 1.54007697 1.96780522 2.51123538 4.71185603], score:0.802, best:0.808, date:May28_11-40-22
epoch:28, train:0.588, valid:0.466, threshold: [0.66220113 1.22538914 1.7447544  2.20166724 3.56947165], score:0.787, best:0.808, date:May28_11-56-44
epoch:29, train:0.585, valid:0.439, threshold: [0.73600217 1.43837699 1.81193837 2.33396891 4.56698837], score:0.795, best:0.808, date:May28_12-13-03
epoch:30, train:0.574, valid:0.403, threshold: [0.70233036 1.60903371 1.86166991 2.42807905 3.45772063], score:0.814, best:0.814, date:May28_12-29-24
epoch:31, train:0.567, valid:0.419, threshold: [0.89841914 1.34945419 1.73378634 2.17995775 3.36279304], score:0.820, best:0.820, date:May28_12-45-45
epoch:32, train:0.583, valid:0.407, threshold: [0.65993148 1.62014024 1.89190186 2.37694967 4.50798441], score:0.811, best:0.820, date:May28_13-02-13
epoch:33, train:0.568, valid:0.385, threshold: [0.65453989 1.6068519  2.0908413  2.45409595 4.68990857], score:0.822, best:0.822, date:May28_13-18-36
epoch:34, train:0.563, valid:0.404, threshold: [0.68263742 1.57560484 1.96297924 2.2272403  4.55619354], score:0.811, best:0.822, date:May28_13-34-53
epoch:35, train:0.551, valid:0.388, threshold: [0.71268698 1.48889826 2.03371267 2.60039118 4.21450853], score:0.823, best:0.823, date:May28_13-51-20
epoch:36, train:0.546, valid:0.400, threshold: [0.76343757 1.38963566 2.02342599 2.46240128 3.39120135], score:0.819, best:0.823, date:May28_14-07-43
epoch:37, train:0.552, valid:0.394, threshold: [0.74815133 1.36523472 1.99567163 2.64854915 3.15241105], score:0.824, best:0.824, date:May28_14-24-05
epoch:38, train:0.562, valid:0.377, threshold: [0.73573082 1.3084243  2.06551472 2.43839864 4.17008601], score:0.823, best:0.824, date:May28_14-40-21
epoch:39, train:0.548, valid:0.374, threshold: [0.63405029 1.64164744 1.84044817 2.39370736 4.23226393], score:0.818, best:0.824, date:May28_14-56-40
epoch:40, train:0.559, valid:0.380, threshold: [0.72989439 1.42453381 1.90577405 2.33880875 3.34004305], score:0.820, best:0.824, date:May28_15-13-00
epoch:41, train:0.565, valid:0.396, threshold: [0.64581608 1.67653096 2.02115281 2.77359277 3.7980114 ], score:0.814, best:0.824, date:May28_15-29-18
epoch:42, train:0.565, valid:0.392, threshold: [0.61930307 1.63592314 1.92515734 2.42914442 4.95866915], score:0.805, best:0.824, date:May28_15-45-34
epoch:43, train:0.556, valid:0.382, threshold: [0.58606326 1.63657831 2.21149344 3.00815102 4.54515454], score:0.820, best:0.824, date:May28_16-02-04
