available cuda: 2
Loaded pretrained weights for efficientnet-b1
training started: Jun10_18-42-39
epoch:00, train:0.952, valid:0.661, threshold: [0.52256115 1.71216426 2.46433287 3.11535674 3.9842181 ], score:0.732, best:0.732, date:Jun10_18-51-06
epoch:28, train:0.440, valid:0.291, threshold: [0.72525738 1.54488016 2.0676419  2.68662296 3.69119741], score:0.865, best:0.869, date:Jun10_22-42-44
epoch:29, train:0.435, valid:0.309, threshold: [0.53777561 1.56946731 1.98901772 2.42922165 4.8237254 ], score:0.857, best:0.869, date:Jun10_22-51-02
epoch:30, train:0.434, valid:0.314, threshold: [0.53886952 1.77649259 2.18174125 2.50646612 4.58844036], score:0.847, best:0.869, date:Jun10_22-59-16
epoch:31, train:0.443, valid:0.329, threshold: [0.63520853 1.4659175  1.85338454 2.45001661 4.45476854], score:0.849, best:0.869, date:Jun10_23-07-32
epoch:32, train:0.440, valid:0.305, threshold: [0.66988702 1.70377612 2.28685567 2.40193388 3.45555717], score:0.862, best:0.869, date:Jun10_23-15-48
epoch:33, train:0.433, valid:0.285, threshold: [0.61086705 1.4540017  2.43504316 2.96269517 3.97601371], score:0.868, best:0.869, date:Jun10_23-24-03
epoch:34, train:0.435, valid:0.288, threshold: [0.63094913 1.63667804 2.19382726 2.90453648 3.55826298], score:0.869, best:0.869, date:Jun10_23-32-19
epoch:35, train:0.420, valid:0.322, threshold: [0.69492466 1.3188099  1.99263703 2.63974214 3.58591961], score:0.869, best:0.869, date:Jun10_23-40-36
epoch:36, train:0.438, valid:0.340, threshold: [0.67680784 1.43575274 1.98302314 2.40475551 5.07349674], score:0.858, best:0.869, date:Jun10_23-48-54
epoch:37, train:0.435, valid:0.295, threshold: [0.66871702 1.53792751 2.12282639 2.63308269 3.75608925], score:0.868, best:0.869, date:Jun10_23-57-12
epoch:38, train:0.432, valid:0.314, threshold: [0.60556709 1.26969321 2.08702826 2.7071968  4.77403627], score:0.854, best:0.869, date:Jun11_00-05-28
epoch:39, train:0.426, valid:0.305, threshold: [0.57275983 1.33779462 1.67550424 2.50730885 3.56712217], score:0.875, best:0.875, date:Jun11_00-13-48
epoch:40, train:0.425, valid:0.293, threshold: [0.71059458 1.41485399 1.8597852  2.59329882 3.48601538], score:0.872, best:0.875, date:Jun11_00-22-03
epoch:41, train:0.421, valid:0.336, threshold: [0.63092136 1.38580842 1.79695082 2.43881867 4.67950496], score:0.856, best:0.875, date:Jun11_00-30-19
epoch:42, train:0.427, valid:0.302, threshold: [0.61176657 1.35997262 2.02473939 2.8178582  3.54568108], score:0.868, best:0.875, date:Jun11_00-38-36
epoch:43, train:0.418, valid:0.290, threshold: [0.66498669 1.60026952 2.10445987 2.82458215 3.6057848 ], score:0.874, best:0.875, date:Jun11_00-46-51
epoch:44, train:0.413, valid:0.313, threshold: [0.63695721 1.29791912 1.78784521 2.49185807 5.04562295], score:0.852, best:0.875, date:Jun11_00-55-08
epoch:45, train:0.412, valid:0.325, threshold: [0.65055574 1.56999182 1.9890474  2.41163939 4.06028747], score:0.865, best:0.875, date:Jun11_01-03-25
epoch:46, train:0.422, valid:0.288, threshold: [0.60584575 1.65497548 2.27862153 3.0099397  3.70269295], score:0.867, best:0.875, date:Jun11_01-11-43
epoch:47, train:0.415, valid:0.301, threshold: [0.6051195  1.72552464 2.16461719 2.58767102 4.53612958], score:0.861, best:0.875, date:Jun11_01-20-03
epoch:48, train:0.401, valid:0.306, threshold: [0.75357137 1.25579948 1.93397535 2.71084731 3.42946765], score:0.875, best:0.875, date:Jun11_01-28-19
epoch:49, train:0.409, valid:0.301, threshold: [0.68970446 1.52224041 1.89484792 2.51492102 3.62417239], score:0.874, best:0.875, date:Jun11_01-36-38
training finished: Jun11_01-36-38
